"05183: Innvandrere og norskfødte med innvandrerforeldre, etter landbakgrunn, år og statistikkvariabel"

"landbakgrunn";"år";"Innvandrere og norskfødte med innvandrerforeldre"
"Europa og Tyrkia";"2000";143123
"Europa og Tyrkia";"2001";146000
"Europa og Tyrkia";"2002";148655
"Europa og Tyrkia";"2003";155111
"Europa og Tyrkia";"2004";159159
"Europa og Tyrkia";"2005";165008
"Europa og Tyrkia";"2006";174484
"Europa og Tyrkia";"2007";190094
"Europa og Tyrkia";"2008";218100
"Europa og Tyrkia";"2009";248248
"Europa og Tyrkia";"2010";273037
"Europa og Tyrkia";"2011";303865
"Europa og Tyrkia";"2012";340023
"Europa og Tyrkia";"2013";373150
"Europa og Tyrkia";"2014";401540
"Europa og Tyrkia";"2015";428023
"Europa og Tyrkia";"2016";448541
"Europa og Tyrkia";"2017";456328
"Europa og Tyrkia";"2018";464865
"Europa og Tyrkia";"2019";474508
"Europa og Tyrkia";"2020";490596
"Europa og Tyrkia";"2021";500282
"Europa og Tyrkia";"2022";513800
"Europa og Tyrkia";"2023";558322
"Europa og Tyrkia";"2024";601628
"Europa og Tyrkia";"2025";628986
"Afrika";"2000";26521
"Afrika";"2001";29569
"Afrika";"2002";32177
"Afrika";"2003";36593
"Afrika";"2004";40491
"Afrika";"2005";43799
"Afrika";"2006";47533
"Afrika";"2007";51603
"Afrika";"2008";56378
"Afrika";"2009";61189
"Afrika";"2010";67168
"Afrika";"2011";73482
"Afrika";"2012";79712
"Afrika";"2013";88762
"Afrika";"2014";97151
"Afrika";"2015";104633
"Afrika";"2016";114304
"Afrika";"2017";121114
"Afrika";"2018";127157
"Afrika";"2019";131702
"Afrika";"2020";137413
"Afrika";"2021";140415
"Afrika";"2022";144866
"Afrika";"2023";149507
"Afrika";"2024";153746
"Afrika";"2025";158007
"Asia utenom Tyrkia";"2000";92577
"Asia utenom Tyrkia";"2001";101598
"Asia utenom Tyrkia";"2002";108886
"Asia utenom Tyrkia";"2003";119127
"Asia utenom Tyrkia";"2004";126682
"Asia utenom Tyrkia";"2005";133349
"Asia utenom Tyrkia";"2006";141179
"Asia utenom Tyrkia";"2007";148994
"Asia utenom Tyrkia";"2008";159037
"Asia utenom Tyrkia";"2009";170923
"Asia utenom Tyrkia";"2010";182727
"Asia utenom Tyrkia";"2011";193037
"Asia utenom Tyrkia";"2012";203586
"Asia utenom Tyrkia";"2013";214869
"Asia utenom Tyrkia";"2014";225354
"Asia utenom Tyrkia";"2015";235876
"Asia utenom Tyrkia";"2016";247849
"Asia utenom Tyrkia";"2017";268237
"Asia utenom Tyrkia";"2018";285437
"Asia utenom Tyrkia";"2019";297465
"Asia utenom Tyrkia";"2020";308262
"Asia utenom Tyrkia";"2021";313351
"Asia utenom Tyrkia";"2022";321352
"Asia utenom Tyrkia";"2023";335732
"Asia utenom Tyrkia";"2024";348009
"Asia utenom Tyrkia";"2025";358052
"Nord-, Sentral-Amerika og Karibia";"2000";10271
"Nord-, Sentral-Amerika og Karibia";"2001";10120
"Nord-, Sentral-Amerika og Karibia";"2002";10099
"Nord-, Sentral-Amerika og Karibia";"2003";10517
"Nord-, Sentral-Amerika og Karibia";"2004";10685
"Nord-, Sentral-Amerika og Karibia";"2005";10500
"Nord-, Sentral-Amerika og Karibia";"2006";10678
"Nord-, Sentral-Amerika og Karibia";"2007";11014
"Nord-, Sentral-Amerika og Karibia";"2008";11488
"Nord-, Sentral-Amerika og Karibia";"2009";12159
"Nord-, Sentral-Amerika og Karibia";"2010";12758
"Nord-, Sentral-Amerika og Karibia";"2011";13189
"Nord-, Sentral-Amerika og Karibia";"2012";13577
"Nord-, Sentral-Amerika og Karibia";"2013";14364
"Nord-, Sentral-Amerika og Karibia";"2014";14887
"Nord-, Sentral-Amerika og Karibia";"2015";15238
"Nord-, Sentral-Amerika og Karibia";"2016";15977
"Nord-, Sentral-Amerika og Karibia";"2017";16202
"Nord-, Sentral-Amerika og Karibia";"2018";16696
"Nord-, Sentral-Amerika og Karibia";"2019";17412
"Nord-, Sentral-Amerika og Karibia";"2020";18325
"Nord-, Sentral-Amerika og Karibia";"2021";18617
"Nord-, Sentral-Amerika og Karibia";"2022";19214
"Nord-, Sentral-Amerika og Karibia";"2023";20156
"Nord-, Sentral-Amerika og Karibia";"2024";20657
"Nord-, Sentral-Amerika og Karibia";"2025";20985
"Sør-Amerika";"2000";9126
"Sør-Amerika";"2001";9546
"Sør-Amerika";"2002";9949
"Sør-Amerika";"2003";10457
"Sør-Amerika";"2004";10897
"Sør-Amerika";"2005";11247
"Sør-Amerika";"2006";11728
"Sør-Amerika";"2007";12363
"Sør-Amerika";"2008";13156
"Sør-Amerika";"2009";14075
"Sør-Amerika";"2010";14903
"Sør-Amerika";"2011";15543
"Sør-Amerika";"2012";16368
"Sør-Amerika";"2013";17323
"Sør-Amerika";"2014";18208
"Sør-Amerika";"2015";19061
"Sør-Amerika";"2016";19351
"Sør-Amerika";"2017";19693
"Sør-Amerika";"2018";20223
"Sør-Amerika";"2019";21010
"Sør-Amerika";"2020";22113
"Sør-Amerika";"2021";22691
"Sør-Amerika";"2022";23338
"Sør-Amerika";"2023";24614
"Sør-Amerika";"2024";25761
"Sør-Amerika";"2025";26532
"Oseania";"2000";869
"Oseania";"2001";898
"Oseania";"2002";937
"Oseania";"2003";989
"Oseania";"2004";1025
"Oseania";"2005";1079
"Oseania";"2006";1096
"Oseania";"2007";1250
"Oseania";"2008";1456
"Oseania";"2009";1604
"Oseania";"2010";1720
"Oseania";"2011";1806
"Oseania";"2012";1905
"Oseania";"2013";1996
"Oseania";"2014";2045
"Oseania";"2015";2133
"Oseania";"2016";2184
"Oseania";"2017";2177
"Oseania";"2018";2247
"Oseania";"2019";2306
"Oseania";"2020";2544
"Oseania";"2021";2587
"Oseania";"2022";2605
"Oseania";"2023";2704
"Oseania";"2024";2740
"Oseania";"2025";2784
